/home/leo/.pyenv/versions/anaconda3-2019.03/bin/python /home/leo/workspace/PycharmProjects/GroupFacePytorch/train.py
>> LoadGallery[9/10]

 EpochEval[-1] >> 100.0/100.0 acc:33.0/100.0=0.3300


 START Training
Epoch: 0 [0/13] loss:2.38
Epoch: 0 [1/13] loss:2.45
Epoch: 0 [2/13] loss:2.45
Epoch: 0 [3/13] loss:2.48
Epoch: 0 [4/13] loss:2.49
Epoch: 0 [5/13] loss:2.36
Epoch: 0 [6/13] loss:2.42
Epoch: 0 [7/13] loss:2.40
Epoch: 0 [8/13] loss:2.45
Epoch: 0 [9/13] loss:2.38
Epoch: 0 [10/13] loss:2.37
Epoch: 0 [11/13] loss:2.41
Epoch: 0 [12/13] loss:2.35
Epoch 0 Trained Loss_Sum:2.41533
>> LoadGallery[9/10]

 EpochEval[0] >> 100.0/100.0 acc:34.0/100.0=0.3400

Epoch: 1 [0/13] loss:2.33
Epoch: 1 [1/13] loss:2.34
Epoch: 1 [2/13] loss:2.32
Epoch: 1 [3/13] loss:2.28
Epoch: 1 [4/13] loss:2.31
Epoch: 1 [5/13] loss:2.23
Epoch: 1 [6/13] loss:2.25
Epoch: 1 [7/13] loss:2.29
Epoch: 1 [8/13] loss:2.24
Epoch: 1 [9/13] loss:2.30
Epoch: 1 [10/13] loss:2.30
Epoch: 1 [11/13] loss:2.28
Epoch: 1 [12/13] loss:2.20
Epoch 1 Trained Loss_Sum:2.28303
>> LoadGallery[9/10]

 EpochEval[1] >> 100.0/100.0 acc:40.0/100.0=0.4000

Epoch: 2 [0/13] loss:2.10
Epoch: 2 [1/13] loss:2.20
Epoch: 2 [2/13] loss:2.12
Epoch: 2 [3/13] loss:2.10
Epoch: 2 [4/13] loss:2.12
Epoch: 2 [5/13] loss:2.07
Epoch: 2 [6/13] loss:2.16
Epoch: 2 [7/13] loss:2.03
Epoch: 2 [8/13] loss:2.09
Epoch: 2 [9/13] loss:2.12
Epoch: 2 [10/13] loss:1.99
Epoch: 2 [11/13] loss:1.94
Epoch: 2 [12/13] loss:1.96
Epoch 2 Trained Loss_Sum:2.07692
>> LoadGallery[9/10]

 EpochEval[2] >> 100.0/100.0 acc:44.0/100.0=0.4400

Epoch: 3 [0/13] loss:1.96
Epoch: 3 [1/13] loss:1.90
Epoch: 3 [2/13] loss:1.92
Epoch: 3 [3/13] loss:1.86
Epoch: 3 [4/13] loss:1.95
Epoch: 3 [5/13] loss:1.79
Epoch: 3 [6/13] loss:1.82
Epoch: 3 [7/13] loss:1.87
Epoch: 3 [8/13] loss:1.80
Epoch: 3 [9/13] loss:1.85
Epoch: 3 [10/13] loss:1.89
Epoch: 3 [11/13] loss:1.87
Epoch: 3 [12/13] loss:1.79
Epoch 3 Trained Loss_Sum:1.86672
>> LoadGallery[9/10]

 EpochEval[3] >> 100.0/100.0 acc:72.0/100.0=0.7200

Epoch: 4 [0/13] loss:1.77
Epoch: 4 [1/13] loss:1.73
Epoch: 4 [2/13] loss:1.77
Epoch: 4 [3/13] loss:1.77
Epoch: 4 [4/13] loss:1.78
Epoch: 4 [5/13] loss:1.75
Epoch: 4 [6/13] loss:1.75
